ID_Fa_D,phase_duration,phase_duration_it,ID_Sta,season
1,pre planting,pre impianto,9.0,undefined
2,1st husbandry year,I anno allev.,3.0,year
3,2nd husbandry year,II anno allev.,3.0,year
4,full production,piena produzione,3.0,year
5,1st cut,1° taglio,8.0,short
6,2nd cut or later,2° taglio o succ.,8.0,short
7,full cycle,un ciclo intero,8.0,short
8,second harvest,secondo raccolto,2.0,summer-autumn
9,Spring-summer <70 days,Primaverile-estiva <70 gg,5.0,spring-summer
10,Spring-summer 70-100 days,Primaverile-estiva  70–100 gg,5.0,spring-summer
11,Spring-summer 100-130 days,Primaverile-estiva  100–130 gg,5.0,spring-summer
12,Spring-summer >130 days,Primaverile-estiva  >130 gg,5.0,spring-summer
13,Autumn-winter <150 days,Autunno-vernina <150 gg,1.0,autumn-winter-spring
14,Autumn-winter >150 days,Autunno-vernina >150 gg,1.0,autumn-winter-spring
15,pre planting autumn,pre impianto autunno,7.0,autumn-winter
16,1st year - spring planting,1° anno - impianto a primavera,6.0,spring-summer-autumn-winter
17,In production,In produzione,4.0,year
