ID_F_org,fertilizer,sector_id,tipo,min_ss,max_ss,avg_ss,min_N,max_N,avg_N,min_P2O5,max_P2O5,avg_P2O5,min_K2O,max_K2O,avg_K2O,zootec_100pct,incremento_SO
1.0,compost,,3.0,65.0,65.0,65.0,12.0,12.0,12.0,9.0,9.0,9.0,10.0,10.0,10.0,no,1.0
2.0,Digestato t.q. biomasse o con effl. bovini,,7.0,20.0,24.0,22.0,3.0,9.0,6.0,4.0,4.0,4.0,4.0,10.0,7.0,no,0.0
3.0,Digestato t.q. con prevalenza effl. Suini,,7.0,20.0,24.0,22.0,3.0,9.0,6.0,4.0,4.0,4.0,4.0,10.0,7.0,no,0.0
4.0,Digestato t.q. con prevalenza di effl. avicoli,,7.0,20.0,24.0,22.0,3.0,9.0,6.0,4.0,4.0,4.0,4.0,10.0,7.0,no,0.0
5.0,Digestato frazione chiarificata,,7.0,2.0,6.0,4.0,6.0,10.0,8.0,3.0,3.0,3.0,4.0,10.0,7.0,no,0.0
6.0,Digestato frazione palabile,,2.0,30.0,40.0,35.0,2.0,8.0,5.0,5.0,5.0,5.0,4.0,10.0,7.0,no,1.0
7.0,humofort pellet amm. Org. Nat.,,3.0,65.0,65.0,65.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,10.0,10.0,no,1.0
8.0,ammendante compostato misto,,3.0,60.0,70.0,65.0,16.0,20.0,18.0,10.0,14.0,12.0,12.0,14.0,13.0,no,1.0
9.0,humoscam pellet amm. Veg. Fermentato,,3.0,65.0,65.0,65.0,20.0,20.0,20.0,30.0,30.0,30.0,16.0,16.0,16.0,no,1.0
10.0,letame bovino,,2.0,20.0,30.0,25.0,3.0,7.0,5.0,0.9,3.9,2.4,4.0,10.0,7.0,sì,1.0
11.0,letame ovino,,2.0,22.0,40.0,31.0,6.0,11.0,8.5,1.6,3.0,2.3,14.0,21.6,17.8,sì,1.0
12.0,letame suino,,2.0,25.0,25.0,25.0,4.7,4.7,4.7,4.1,4.1,4.1,5.4,5.4,5.4,sì,1.0
13.0,lettiera esausta polli da carne,,4.0,60.0,80.0,70.0,30.0,47.0,38.5,29.77,57.25,43.51,16.8,20.4,18.6,sì,1.0
14.0,liquame bovini da carne,,6.0,7.0,10.0,8.5,3.2,4.5,3.85,2.3,3.4,2.85,2.9,4.7,3.8,sì,0.0
15.0,liquame bovini da latte,,6.0,10.0,16.0,13.0,3.9,6.3,5.1,2.3,3.7,3.0,3.8,6.2,5.0,sì,0.0
16.0,liquami ovaiole,,6.0,19.0,25.0,22.0,10.0,15.0,12.5,9.2,11.5,10.35,3.6,9.0,6.3,sì,0.0
17.0,liquami suini,,6.0,1.5,6.0,3.75,1.5,5.0,3.25,1.1,4.6,2.85,1.2,3.7,2.45,sì,0.0
18.0,pollina preessicata,,8.0,50.0,85.0,67.5,23.0,43.0,33.0,21.0,34.0,27.5,17.0,30.0,23.5,sì,0.0
19.0,fanghi agroalimentari,,5.0,20.0,30.0,25.0,1.4,4.2,2.8,1.25,3.75,2.5,2.0,5.0,3.5,no,0.0
20.0,tioscam 50 amm. Base ferro e zolfo,,3.0,65.0,65.0,65.0,10.0,10.0,10.0,0.0,0.9,0.45,0.0,0.9,0.45,no,1.0
21.0,z nessuno,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sì,0.0
